abbrev,State,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
AL,Alabama,No Law,No Law,No Law,Statutory Ban,,,,,,,,,,,,,,,,,
AK,Alaska,No Law,Statutory Ban,Statutory Ban,Constitutional Ban,,,,,,,,,,,,,,,,,
AZ,Arizona,Statutory Ban,Statutory Ban,Statutory Ban,Statutory Ban,,,,,,,,,,,,,,,,,
AR,Arkansas,No Law,No Law,Statutory Ban,Statutory Ban,,,,,,,,,,,,,,,,,
CA,California,Statutory Ban,Statutory Ban,Statutory Ban,Statutory Ban,,,,,,,,,,,,,,,,,
CO,Colorado,No Law,No Law,No Law,No Law,,,,,,,,,,,,,,,,,
CT,Connecticut,Statutory Ban,Statutory Ban,Statutory Ban,Statutory Ban,,,,,,,,,,,,,,,,,
DE,Delaware,No Law,Statutory Ban,Statutory Ban,Statutory Ban,,,,,,,,,,,,,,,,,
FL,Florida,Statutory Ban,Statutory Ban,Statutory Ban,Statutory Ban,,,,,,,,,,,,,,,,,
GA,Georgia,No Law,Statutory Ban,Statutory Ban,Statutory Ban,,,,,,,,,,,,,,,,,
HI,Hawaii,No Law,No Law,,Statutory Ban,,,,,,,,,,,,,,,,,
ID,Idaho,No Law,Statutory Ban,,Statutory Ban,,,,,,,,,,,,,,,,,
IL,Illinois,No Law,Statutory Ban,,Statutory Ban,,,,,,,,,,,,,,,,,
IN,Indiana,No Law,No Law,,Statutory Ban,,,,,,,,,,,,,,,,,
IA,Iowa,No Law,No Law,,Statutory Ban,,,,,,,,,,,,,,,,,
KS,Kansas,No Law,Statutory Ban,,Statutory Ban,,,,,,,,,,,,,,,,,
KY,Kentucky,No Law,No Law,,Statutory Ban,,,,,,,,,,,,,,,,,
LA,Louisiana,Statutory Ban,Statutory Ban,,Statutory Ban,,,,,,,,,,,,,,,,,
ME,Maine,No Law,No Law,,Statutory Ban,,,,,,,,,,,,,,,,,
MD,Maryland,Statutory Ban,Statutory Ban,,Statutory Ban,,,,,,,,,,,,,,,,,
MA,Massachusetts,No Law,No Law,,No Law,,,,,,,,,,,,,,,,,
MI,Michigan,No Law,Statutory Ban,,Statutory Ban,,,,,,,,,,,,,,,,,
MN,Minnesota,No Law,No Law,,Statutory Ban,,,,,,,,,,,,,,,,,
MS,Mississippi,No Law,No Law,,Statutory Ban,,,,,,,,,,,,,,,,,
MO,Missouri,No Law,Statutory Ban,,Statutory Ban,,,,,,,,,,,,,,,,,
MT,Montana,Statutory Ban,Statutory Ban,,Statutory Ban,,,,,,,,,,,,,,,,,
NE,Nebraska,No Law,No Law,,No Law,,,,,,,,,,,,,,,,,
NV,Nevada,No Law,No Law,,No Law,,,,,,,,,,,,,,,,,
NH,New Hampshire,Statutory Ban,Statutory Ban,,Statutory Ban,,,,,,,,,,,,,,,,,
NJ,New Jersey,No Law,No Law,,No Law,,,,,,,,,,,,,,,,,
NM,New Mexico,No Law,No Law,,No Law,,,,,,,,,,,,,,,,,
NY,New York,No Law,No Law,,No Law,,,,,,,,,,,,,,,,,
NC,North Carolina,Statutory Ban,Statutory Ban,,Statutory Ban,,,,,,,,,,,,,,,,,
ND,North Dakota,No Law,No Law,,Statutory Ban,,,,,,,,,,,,,,,,,
OH,Ohio,No Law,No Law,,No Law,,,,,,,,,,,,,,,,,
OK,Oklahoma,No Law,Statutory Ban,,Statutory Ban,,,,,,,,,,,,,,,,,
OR,Oregon,No Law,No Law,,No Law,,,,,,,,,,,,,,,,,
PA,Pennsylvania,No Law,Statutory Ban,,Statutory Ban,,,,,,,,,,,,,,,,,
RI,Rhode Island,No Law,No Law,,No Law,,,,,,,,,,,,,,,,,
SC,South Carolina,No Law,Statutory Ban,,Statutory Ban,,,,,,,,,,,,,,,,,
SD,South Dakota,No Law,Statutory Ban,,Statutory Ban,,,,,,,,,,,,,,,,,
TN,Tennessee,No Law,Statutory Ban,,Statutory Ban,,,,,,,,,,,,,,,,,
TX,Texas,No Law,No Law,,Statutory Ban,,,,,,,,,,,,,,,,,
UT,Utah,Statutory Ban,Statutory Ban,,Statutory Ban,,,,,,,,,,,,,,,,,
VT,Vermont,No Law,No Law,,No Law,,,,,,,,,,,,,,,,,
VA,Virginia,Statutory Ban,Statutory Ban,,Statutory Ban,,,,,,,,,,,,,,,,,
WA,Washington,No Law,No Law,,Statutory Ban,,,,,,,,,,,,,,,,,
WV,West Virginia,No Law,No Law,,No Law,,,,,,,,,,,,,,,,,
WI,Wisconsin,Statutory Ban,Statutory Ban,,Statutory Ban,,,,,,,,,,,,,,,,,
WY,Wyoming,Statutory Ban,Statutory Ban,,Statutory Ban,,,,,,,,,,,,,,,,,
